ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L;Price;Stars/5;#ratings;Reviews;Description
0195153448;Classical Mythology;Mark P. O. Morford;2002;Oxford University Press;http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg;₹3,222.00;4.2;12;['Used for uni. Great book', 'I find this book very interesting, it goes in to great depth  on classical Mythology. Anyone who enjoys ready tales of the past will enjoy this.', 'I bought a used version of this book because it was one of the required textbooks for my Greek Mythology class. It was in great condition and I can’t wait to read it!'];Brings together a range of English versions of three classical myths, allowing students to explore the ways in which they have been reinterpreted and reinvented by writers throughout history.  Read more
0002005018;Clara Callan;Richard Bruce Wright;2001;HarperFlamingo Canada;http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg;₹1,227.00;4.4;77;"[""wonderful writing; small town Ontario of the 1930's perfectly captured in fictional letters of 2 sisters."", 'Very good', ""Book was well written and interesting information about the 1930's.  It was recommended as a book club selection and I did not think I would enjoy the letter format (had read another similar book and did not enjoy reading it) - I did enjoy this one.Other books I recently ordered  are again for book club selections and will be read over the next number of months.Always enjoy Andre Rieu music.""]";In a small town in Canada, Clara Callan reluctantly takes leave of her sister, Nora, who is bound for New York. It's a time when the growing threat of fascism in Europe is a constant worry, and people escape from reality through radio and the movies. Meanwhile, the two sisters -- vastly different in personality, yet inextricably linked by a shared past -- try to find their places within the complex web of social expectations for young women in the 1930s.While Nora embarks on a glamorous career as a radio-soap opera star, Clara, a strong and independent-minded woman, struggles to
0374157065;Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It;Gina Bari Kolata;1999;Farrar Straus Giroux;http://images.amazon.com/images/P/0374157065.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg;₹1,138.00;4.5;654;"[""The story of the 1918 flu epidemic is shocking and bald: more people died in one winter than had been killed in the entire First World War.Not far from my house in South-East England is a churchyard in which there are 300-year-old graves.  But about a third of the plot is given over to the graves of Canadian servicemen, all of whom died in their late teens in the Winter of 1918/1919.  This was after the war had ended, and these boys died not at the hands of the enemy but from influenza.This excellent book homes in on the detective race to secure samples of the 1918 flu and identify the genetic code of the virus that caused it.  There are many other threads that the author could have followed, such as the appalling scale of human tragedy, the technical details of the virological study of the flu, and the shock value of our potential vulnerability to future outbreaks (and to diseases like SARS).  But Gina Kolata focuses on the scientific race to isolate and identify the virus, and this makes for a page-turning thriller.The book lacks structure, though, and becomes increasingly scrambled.  In tracing the parallel careers and scientific studies of the protagonists, Kolata attempts chronological jumps that fail.  Added to this, the editing of the book is sloppy and it contains howlers that are so illogical that I suspect them to have been introduced by a confused editor rather than put there by the author herself.Don't let this put you off.  Read this book.  It deals with an epidemic that has been ignored and downplayed to an astonishing degree, and it delivers pace, clear explanation and much that fascinates and excites.The 1918 flu is the poor relation in our dire human history of plagues, perhaps because it fell at a time when people were already bone-weary of loss and bad news.  This book redresses this balance, and I look forward to buying the next edition which will I expect repair some of the flaws in the first run and will certainly update this account of a rapidly-developing field."", 'Quite a readable book - a sort of scientific whodunnit - except we are left hanging. The book ends describing ongoing research so why not hold off publishing for a year or so until more information comes to light? I agree with the other reviewer about some cattiness regarding Kirsty Duncan - - was there any need to mention her looks or effect on other men in her team? So we are presented with a book that describes the 1918 Flu epidemic on the USA but pretty much ignores anywhere else! In the end a frustrating book.', 'Good condition.Very interesting read.Prompt delivery. What more can one ask?']";A national bestseller, the fast-paced and gripping account of the Great Flu Epidemic of 1918 from acclaimed science journalist Gina Kolata, now featuring a new epilogue about avian flu.When we think of plagues, we think of AIDS, Ebola, anthrax spores, and, of course, the Black Death. But in 1918 the Great Flu Epidemic killed an estimated forty million people virtually overnight. If such a plague returned today, taking a comparable percentage of the US population with it, 1.5 million Americans would die. In Flu, Gina Kolata, an acclaimed reporter for The New York Times, unravels the mystery of this lethal
0393045218;The Mummies of Urumchi;E. J. W. Barber;1999;"W. W. Norton &amp; Company";http://images.amazon.com/images/P/0393045218.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0393045218.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg;₹2,149.00;4.7;51;"[""This is a well-written and engaging account of the mummified remains of the ancient people of the Tarim Basin housed in the museum in Urumchi. I had expected it to be an analysis of the astonishingly well-preserved textiles, but the book covers a lot more ground than that. There's a lot in depth on historical accounts and lingusitics, as academically wide-ranging as the plains and mountains of central Asia, but expressed clearly for non-specialists. Her central theory of migrations of people from central Europe around 2000 BC is undoubtedly a simplification, and the book does have an old-fashioned feel to it. My chief disappointment is that the photographs, both colour and monochrome are not of the best quality and some of the line drawings too sketchy to be helpful. Poor copy editing means that all the colour plates are misreferenced in the text. I'm sure there must be a better presentation of this subject and material out there or coming soon, but this is a good starting point."", 'Interesting read but a little dated on the DNA analysis , but that is only a minor detail , so overall a great book.', 'This book was a great revelation to me as I have learned so much not only about the mummies but also the importance of textiles in archeology. I loved reading every page and I strongly recommend it.']";"In the museums of Ürümchi, the windswept regional capital of the Uyghur Autonomous Region (also known as Chinese Turkestan), a collection of ancient mummies lies at the center of an enormous mystery.Some of Ürümchi's mummies date back as far as 4,000 years—contemporary with the famous Egyptian mummies but even more beautifully preserved. Surprisingly, these prehistoric people are not Asian but Caucasoid—tall, large-nosed and blond with thick beards and round eyes. What were these blond Caucasians doing in the heart of Asia? What language did they speak? Might they be related to a ""lost tribe"" known from later inscriptions? Few clues"
0399135782;The Kitchen God's Wife;Amy Tan;1991;Putnam Pub Group;http://images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg;₹750.00;4.4;1,408;"['Nice one', ""It is always a delight to read books based on different cultures. I had read Pearl Buck's The Good Earth and Fighting Angel which gave an idea about the Chinese culture. Amy Tan's The Kitchen God's Wife is another book which allows to delve deeper into this culture.The concept of Kitchen God has a story to it and more than the God, it is his wife who hogs the limelight. Amy Tan tries to interweave this mythological story with a woman's story set during war, in this book.I suggest to approach the book without trying to know much about it. There is a jolt hidden in the initial chapters which I found slightly disturbing but can be otherwise. A little reading about the Kitchen God will help in appreciating the macro view of the story but not necessary."", 'A well-written, compelling and interesting book. Once I was on Winnie\'s section I couldn\'t put it down. I found Pearl\'s introduction rather dull, and didn\'t like her as a character. Not a comfortable or pleasant book to read, but informative, thought-provoking and capably put together.HOWEVER I think I spotted a huge continuity error. The beginning of the book - Pearl\'s section - seems to be set pretty much in the present day. Pearl\'s husband, Phil, is 46 , and Pearl is 41. They have two children aged 8 and 3. Yet later on we discover that Pearl was born in 1945, at the end of the war. This makes the year the modern parts of this book is set 1986, but there is mention of ""the \'89 earthquake"", and Phil loads software onto his laptop computer.']";"""Remarkable. . . mesmerizing. . . compelling. . . . An entire world unfolds in Tolstoyan tide of event and detail. . . . Give yourself over to the world Ms. Tan creates for you. "" —The New York Times Book ReviewWinnie and Helen have kept each other's worst secrets for more than fifty years. Now, because she believes she is dying, Helen wants to expose everything. And Winnie angrily determines that she must be the one to tell her daughter, Pearl, about the past—including the terrible truth even Helen does not know. And so begins Winnie's story of her life"
0425176428;What If?: The World's Foremost Military Historians Imagine What Might Have Been;Robert Cowley;2000;Berkley Publishing Group;http://images.amazon.com/images/P/0425176428.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg;₹1,313.00;4.2;187;"['What if they could hire an editor for the book? It would have been at least readable then!The idea and the premise is good. But the voices and narratives are multiple, and it goes back and forth, without any context.', ""This book is fascinating.I had never thought about the impact of tiny changes from the Ancient world....a random outbreak of a disease or the death of one person can change so much.The section on the Mongols was a bit scary because they were such a brutal fighting force and could have easily changed Europe into a barbaric tribal area with no great cities.The book lost my interest a bit in the middle when there was a huge section about the American war of Independence, although maybe American history buffs would find it interesting!You get a brief history lesson along with each counter-factual and it can help you discover periods of history to look into in more detail.It's a shame there wasn't more about Medieval England, as that's my favourite era of history"", 'I just love books like this - having tried to write alternate history stories myself, I know how difficult it is - miss one tiny detail and the  whole premise can fall apart.  So books like ""What If..."" written  by people who know a little bit more about their chosen subjects than  myself (ie: proper Historians) are indispensable for anyone who wants to  consider how different the world would be if, for example, the US hadn\'t  fluked a win at the Battle of Midway or even if the UK and US hadn\'t  entered the First World War.  Would it have even BEEN a ""World""  War?  Probably not as it happens.  Food for thought.I also recommend  ""The Hinge Factor"" by Erik Durschmied and ""The Hitler  Options"" and ""Invasion"" edited and written by Kenneth  Macksey respectively, the latter being an in-depth look at the alternate  history of the German Invasion of England in July 1940.']";With its in-depth reflections on the monumental events of the past, this amazing book of essays ponders what might have been if things had gone differently in history. Featuring Stephen J. Ambrose, John Keegan, and many others.  Read more
0671870432;PLEADING GUILTY;Scott Turow;1993;Audioworks;http://images.amazon.com/images/P/0671870432.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg;₹550.00;3.7;629;"['A story about a character with no redeeming features.The story contains endless examples of gratuitous sex and bad language.There are many rambling diversions.Avoid at all costs', 'Not incisive or captivating', ""I didn't like Burden of Proof but thought I would give this author's books another try. I couldn't finish it so will try no more. He is a good writer but the stories are full of convolution and uninteresting characters. Sadly, I am done.""]";Corporate conspiracy, money and murder, Pleading Guilty is Scott Turow's third Kindle County legal thriller. Mack Malloy, ex-cop, not-quite-ex-drunk, and partner-on-the-wane in one of the country's most high-powered law firms. A long-time ally of the wayward, Mack is on the trail of a colleague, his firm's star litigator, who has vanished with more than five million dollars of a client's money. Soon Mack will descend into the enthralling and ominous heart of a city on his final, desperate, and courageous crusade to reinvent himself from the depths of his own shattered soul . . .  Read more
074322678X;Where You'll Find Me: And Other Stories;Ann Beattie;2002;Scribner;http://images.amazon.com/images/P/074322678X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/074322678X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg;₹9,867.00;4.6;3;[];
0887841740;The Middle Stories;Sheila Heti;2004;House of Anansi Press;http://images.amazon.com/images/P/0887841740.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg;₹448.00;4.5;5;['This is one of the must read books by folks like Hari and Bala who have seen the reality closely on ground. Very well researched and lucid writing.', 'This book has covered all the nuances of the middle India market! A timely and relevant book! A must read for students, entrepreneurs or any individual interested in middle India market.'];Is there a fundamental new catalyst that can significantly enhance access, affordability and quality of products and services to hundreds of millions of Indians? This catalyst is in the form of a new generation of start-up founders who are leveraging technology platforms, smartphone access, and rapid digitization of the Indian consumer. These young founders don't carry the baggage of the past and are attracted to the opportunity of breaking open the massive market of Middle India-the next 400-500M Indians just below the top of the pyramid. This book is about this new and powerful force of change blowing across India-what
1558746218;A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series);Jack Canfield;1998;Health Communications;http://images.amazon.com/images/P/1558746218.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg;₹2,000.00;4.8;26;['Very impressive with the book.  Have told another people about as well', 'This book was great for late nights, or before you doze off to sleep. I looked forward to reading a couple of the short stories at night. The stories were inspirational too.', 'I would recommend this book to all my friends as well as men.The stories uplift your spiritThank you Jack Canfield for producing such lovely storesHannah'];Intimate, uplifting, and soul-searching, this celebration of the shared experiences that connect all women captures the essence of being a woman in 101 true stories about love, attitude, marriage, friendship, overcoming obstacles, and achieving dreams.  Read more
